Date, Open , High , Low , Close , Adj Close , Volume 
5/29/1991," 1,192.75 "," 1,192.75 "," 1,192.75 "," 1,192.75 "," 1,192.44 ", -   
5/30/1991," 1,181.77 "," 1,181.77 "," 1,181.77 "," 1,181.77 "," 1,181.47 ", -   
5/31/1991," 1,180.80 "," 1,180.80 "," 1,180.80 "," 1,180.80 "," 1,180.50 ", -   
6/3/1991," 1,158.61 "," 1,158.61 "," 1,158.61 "," 1,158.61 "," 1,158.31 ", -   
6/4/1991," 1,157.84 "," 1,157.84 "," 1,157.84 "," 1,157.84 "," 1,157.54 ", -   
6/5/1991," 1,147.54 "," 1,147.54 "," 1,147.54 "," 1,147.54 "," 1,147.24 ", -   
6/6/1991," 1,150.25 "," 1,150.25 "," 1,150.25 "," 1,150.25 "," 1,149.95 ", -   
6/7/1991," 1,162.45 "," 1,162.45 "," 1,162.45 "," 1,162.45 "," 1,162.15 ", -   
6/10/1991," 1,153.35 "," 1,153.35 "," 1,153.35 "," 1,153.35 "," 1,153.05 ", -   
6/11/1991," 1,156.70 "," 1,156.70 "," 1,156.70 "," 1,156.70 "," 1,156.40 ", -   
6/12/1991," 1,156.70 "," 1,156.70 "," 1,156.70 "," 1,156.70 "," 1,156.40 ", -   
6/13/1991," 1,153.62 "," 1,153.62 "," 1,153.62 "," 1,153.62 "," 1,153.32 ", -   
6/14/1991," 1,148.70 "," 1,148.70 "," 1,148.70 "," 1,148.70 "," 1,148.40 ", -   
6/17/1991," 1,102.21 "," 1,102.21 "," 1,102.21 "," 1,102.21 "," 1,101.93 ", -   
6/18/1991," 1,092.35 "," 1,092.35 "," 1,092.35 "," 1,092.35 "," 1,092.07 ", -   
6/19/1991," 1,120.44 "," 1,120.44 "," 1,120.44 "," 1,120.44 "," 1,120.15 ", -   
6/20/1991," 1,108.77 "," 1,108.77 "," 1,108.77 "," 1,108.77 "," 1,108.48 ", -   
6/21/1991," 1,090.53 "," 1,090.53 "," 1,090.53 "," 1,090.53 "," 1,090.25 ", -   
6/24/1991," 1,058.02 "," 1,058.02 "," 1,058.02 "," 1,058.02 "," 1,057.75 ", -   
6/25/1991," 1,031.68 "," 1,031.68 "," 1,031.68 "," 1,031.68 "," 1,031.41 ", -   
6/26/1991," 1,055.63 "," 1,055.63 "," 1,055.63 "," 1,055.63 "," 1,055.36 ", -   
6/27/1991," 1,051.41 "," 1,051.41 "," 1,051.41 "," 1,051.41 "," 1,051.14 ", -   
6/28/1991," 1,065.35 "," 1,065.35 "," 1,065.35 "," 1,065.35 "," 1,065.08 ", -   
7/1/1991," 1,062.24 "," 1,062.24 "," 1,062.24 "," 1,062.24 "," 1,061.97 ", -   
7/2/1991," 1,069.78 "," 1,069.78 "," 1,069.78 "," 1,069.78 "," 1,069.51 ", -   
7/3/1991," 1,081.59 "," 1,081.59 "," 1,081.59 "," 1,081.59 "," 1,081.31 ", -   
7/4/1991," 1,101.91 "," 1,101.91 "," 1,101.91 "," 1,101.91 "," 1,101.63 ", -   
7/5/1991," 1,070.21 "," 1,070.21 "," 1,070.21 "," 1,070.21 "," 1,069.93 ", -   
